Time (sec),Sensor #1,Sensor #2,Sensor #3,Sensor #4,Sensor #5,Sensor #6
0,-0.666666667,0,0.166666667,-0.166666667,0.5,-0.5
1,0,0.333333333,0,0,0,0.5
2,1.333333333,0.333333333,0,0,0.5,0.5
3,-0.666666667,0,0.333333333,0.166666667,-0.5,0
4,-0.666666667,-0.666666667,0.166666667,0,-2,-0.5
5,0.666666667,0.333333333,0,-0.166666667,1.5,-0.5
6,0,0.333333333,0,-0.166666667,0,0
7,-1.333333333,-0.333333333,-0.166666667,0.166666667,0.5,0
8,-0.666666667,0,-0.333333333,1,0.5,0
9,-0.666666667,0,0.333333333,0.333333333,0,0
10,1.333333333,0,0.166666667,0.166666667,0.5,0
11,0.666666667,-0.666666667,0.166666667,0.333333333,0,0
12,0,0.333333333,0,0,-0.5,-1.5
13,-0.666666667,0.333333333,0,-0.166666667,-0.5,0
14,1.333333333,-0.666666667,0.166666667,0,-0.5,-0.5
15,0.666666667,0.333333333,0,0.166666667,-1,0.5
16,1.333333333,0.333333333,0.333333333,0.666666667,0,0.5
17,0,0.333333333,-0.166666667,0.166666667,1,0
18,-0.666666667,0,-0.166666667,0,-0.5,0
19,0,0.333333333,0.166666667,0.5,0,0
20,0,0,0.333333333,0.166666667,-0.5,0
21,0,0,-0.333333333,0.5,-2,-1
22,0,-0.666666667,-0.166666667,0,0.5,0
23,-1.333333333,1,0,-0.166666667,0,1
24,0,0.333333333,0.166666667,-0.5,0,0
25,-0.666666667,0.666666667,0,0.166666667,0.5,0
26,0,0.333333333,0.166666667,0,1,-0.5
27,0,0.333333333,0,0,-0.5,0
28,0,0.333333333,0,0.5,0,0.5
29,0,0.333333333,-0.5,-0.666666667,0.5,-0.5
30,-0.666666667,1,0,0,0,0
31,-0.666666667,0.333333333,-0.166666667,-0.166666667,-0.5,0
32,-2.666666667,0,-0.166666667,0,-0.5,0
33,0,0,-0.166666667,0.166666667,-0.5,0
34,0,0.666666667,0,-0.166666667,0,-0.5
35,-0.666666667,0.666666667,0.166666667,0,0.5,0.5
36,1.333333333,0.666666667,0,0,-1.5,0
37,1.333333333,0,0,0.333333333,0.5,0
38,-0.666666667,0.333333333,0,0.333333333,-1,0
39,0.666666667,-0.333333333,-0.333333333,0,0,0
40,0,0.333333333,-0.166666667,0.333333333,0.5,-0.5
41,-1.333333333,-0.666666667,-0.333333333,-0.333333333,-0.5,0
42,-0.666666667,0,0.166666667,0,0.5,0
43,0,0.333333333,0,0.333333333,0,-0.5
44,0,0.333333333,0.333333333,0.166666667,1,0.5
45,-1.333333333,-1,0,0.166666667,0.5,0
46,1.333333333,1,-0.166666667,0,0,1
47,0,0,0.166666667,0.333333333,0.5,-0.5
48,-0.666666667,0.333333333,0,0,-0.5,0
49,-1.333333333,-0.666666667,-0.166666667,-0.666666667,0,0
50,0.666666667,0.666666667,0,0.166666667,-0.5,-0.5
51,0.666666667,0,0,-0.833333333,-2.5,-1.5
52,-2,0.333333333,-0.166666667,0,-0.5,-0.5
53,0,-0.333333333,0.5,0.166666667,0,0
54,0.666666667,0.333333333,0,0.166666667,1,-1
55,0,1,0,0,-1,0
56,0,0,0.166666667,0.166666667,-0.5,0
57,0,0,0,0,0,-0.5
58,-1.333333333,0.666666667,0.5,0,0,-0.5
59,0,-0.666666667,-0.166666667,0.166666667,-0.5,0
60,-0.666666667,-1,-0.333333333,-0.166666667,0.5,0
61,-2,-0.333333333,-0.166666667,0.166666667,0,0
62,1.333333333,0.333333333,-0.166666667,0.166666667,0.5,0.5
63,0.666666667,0.666666667,0,-0.333333333,-1,0
64,0,0.333333333,0.166666667,0.166666667,-0.5,0.5
65,1.333333333,0,0.166666667,0.166666667,0,0
66,0.666666667,0,0,-0.5,0,0
67,0,-0.333333333,-0.166666667,0,-1.5,0
68,0,-0.333333333,0.166666667,-0.166666667,-0.5,-0.5
69,0,0,0,-0.5,0,0
