Time (sec),Sensor #1,Sensor #2,Sensor #3,Sensor #4,Sensor #5,Sensor #6
0,0,1,0.833333333,1,0,-0.4
1,0,0.666666667,0,0,0.166666667,0.4
2,0,-0.333333333,0,0,-0.166666667,0.4
3,0,0.333333333,-0.833333333,0,0.166666667,0
4,1.2,0,-1.666666667,1,0.666666667,0.4
5,-1.2,0.333333333,-0.833333333,-1,0.166666667,0
6,-1.2,0.333333333,-1.666666667,0,0,-0.4
7,0,0,0,0,0.166666667,0
8,-4.8,1,0,2,0.333333333,0
9,0,-0.666666667,0.833333333,1,0.166666667,0.4
10,0,-0.666666667,0,1,0,-0.4
11,-4.8,0,0,0,0,0
12,0,1,0,2,0,-0.4
13,-1.2,0,0.833333333,-1,0,-1.6
14,-1.2,-0.333333333,0.833333333,-1,0.333333333,-0.4
15,-1.2,0,-0.833333333,1,0.166666667,0.8
16,2.4,0.666666667,0,1,0.666666667,0.4
17,0,0.666666667,-0.833333333,0,0.333333333,0
18,0,0.666666667,-0.833333333,0,0,0
19,-1.2,0,0,0,0.166666667,0
20,0,-1,0,1,0.166666667,-0.4
21,1.2,0.666666667,0,-1,-0.5,0
22,-1.2,0.333333333,0,-2,0.166666667,0.4
23,0,0.333333333,-0.833333333,0,0.333333333,0
24,0,1,0.833333333,0,0,0.8
25,0,0,0,0,0,0
26,0,0.333333333,-0.833333333,-1,0.166666667,0.4
27,-3.6,0,0,0,0,0.4
28,1.2,1,-0.833333333,1,0,0
29,-3.6,0.333333333,-0.833333333,-1,0.333333333,0.8
30,0,-0.666666667,-0.833333333,1,-0.333333333,-0.8
31,-2.4,0,-0.833333333,1,0,0.4
32,2.4,1,0,0,0,0
33,0,-0.333333333,0,3,0.166666667,0
34,1.2,1,1.666666667,0,-0.166666667,0.4
35,0,0,-0.833333333,-1,-0.333333333,-0.4
36,-1.2,0,0.833333333,0,0.666666667,0
37,0,-0.333333333,0,1,-0.5,0
38,-1.2,0.333333333,0.833333333,0,-0.166666667,-1.2
39,1.2,0.333333333,-0.833333333,0,-0.166666667,0
40,2.4,-0.666666667,0.833333333,2,0,-0.4
41,-1.2,0,-2.5,0,0,0
42,0,0,-0.833333333,-1,-0.166666667,0
43,0,-0.666666667,-0.833333333,0,0.166666667,0
44,0,0.333333333,-2.5,0,0.166666667,0.4
45,-1.2,0.333333333,-1.666666667,1,0.166666667,0.8
46,0,0,0,0,0,0
47,1.2,0.333333333,-1.666666667,0,0,0
48,1.2,0.333333333,0.833333333,0,0.166666667,0
49,0,-0.333333333,0,-1,-0.166666667,-0.4
50,1.2,-1,-0.833333333,0,0,-0.4
51,2.4,0,0,-1,-0.166666667,1.2
52,1.2,0.333333333,-1.666666667,0,0,0
53,1.2,-0.333333333,-0.833333333,-1,-0.166666667,-0.8
54,0,0.333333333,0.833333333,0,0.5,0.4
55,0,0.333333333,0.833333333,-2,0.5,-0.8
56,-1.2,-0.333333333,0,-1,-0.333333333,-0.8
57,0,0,0,0,0,-0.4
58,0,-0.333333333,0,1,0.166666667,0.4
59,-1.2,0,0,-1,0,0
60,-1.2,0,-0.833333333,2,0,0.8
61,0,0.333333333,0,0,0.333333333,0
62,1.2,0.333333333,0,0,0,-0.8
63,1.2,0.333333333,0,1,0.333333333,0
64,0,-0.333333333,1.666666667,-1,0.166666667,0.4
65,-3.6,0.333333333,0,-1,0.333333333,0.4
66,0,-0.333333333,0,0,-0.166666667,-1.2
67,1.2,-0.333333333,0,-1,-0.166666667,0.4
68,1.2,0,0,0,0,0.4
69,-1.2,0.666666667,-0.833333333,0,-0.166666667,0.4
70,3.6,0.333333333,0.833333333,0,0.333333333,0.4
71,0,0.666666667,0.833333333,0,-0.666666667,0
72,-1.2,0.333333333,0,-1,0,-0.4
73,0,-0.333333333,0,0,0,0.8
74,0,0.333333333,0,-2,-0.166666667,0
75,-3.6,-0.333333333,0,1,0,0
76,1.2,0.333333333,0,0,0,0
77,-3.6,0.333333333,0,1,0,-0.4
78,1.2,1,-0.833333333,0,0.333333333,0.4
79,2.4,0,-1.666666667,2,-0.166666667,0
80,0,0.333333333,0.833333333,0,0,0
81,0,-0.333333333,0,1,0.333333333,0.4
82,0,0,1.666666667,0,-0.333333333,0
83,-1.2,0.333333333,0,1,0.166666667,1.2
84,1.2,0.666666667,-0.833333333,0,0,0
85,0,0.666666667,0,-1,0,0.8
86,1.2,0.333333333,0,0,-0.166666667,-0.4
87,-1.2,-0.333333333,0,-1,-0.666666667,0.4
88,0,0.333333333,-0.833333333,0,0.166666667,0
89,1.2,0.666666667,-0.833333333,1,0.5,0.4
90,0,0.333333333,0,-3,0.166666667,0.4
91,0,0,-0.833333333,1,0,0.4
92,0,0.333333333,-0.833333333,-1,0,0
93,0,0.666666667,0.833333333,-1,-0.166666667,0.8
94,1.2,0.333333333,-1.666666667,0,0.666666667,-0.8
95,-1.2,0,0.833333333,0,-0.166666667,-0.4
96,1.2,-0.666666667,-0.833333333,-1,0,0
97,0,0.666666667,-0.833333333,-1,0.166666667,0.8
98,0,0,0,0,-0.166666667,-0.4
99,0,0,0.833333333,0,0,1.2
100,1.2,0,0.833333333,0,0,0.8
101,0,0,0,2,0.166666667,0
102,2.4,0.666666667,-0.833333333,0,-0.5,0
103,1.2,0.333333333,-0.833333333,1,-0.5,1.2
104,0,0.333333333,0,-1,0,1.2
105,2.4,0,0,-2,0,2
106,0,0,0,0,0,0.8
107,2.4,-0.666666667,0,-1,-0.166666667,1.6
108,0,0.666666667,-0.833333333,-1,0.333333333,1.2
109,-4.8,1,0,0,0,0.8
110,1.2,-0.333333333,0,1,0.333333333,1.6
111,3.6,0.333333333,0,-1,0,2
112,1.2,0.666666667,-0.833333333,-2,0,1.2
113,3.6,0.333333333,0.833333333,0,0,1.6
114,1.2,1.333333333,-0.833333333,0,0.5,1.6
115,1.2,0,0,1,0,2
116,1.2,0.333333333,0.833333333,-1,-0.166666667,1.6
117,1.2,-0.333333333,0,-1,0.333333333,3.2
118,1.2,0.666666667,-0.833333333,0,0,2.4
119,-2.4,0.666666667,-0.833333333,1,-0.166666667,2.4
120,0,0,0,-4,0.166666667,2.8
121,0,0.666666667,0.833333333,-1,-0.5,2.8
122,1.2,0.333333333,0.833333333,1,0.5,1.6
123,0,0.333333333,0,-1,-0.166666667,2.8
124,1.2,-0.333333333,-0.833333333,-1,0.166666667,3.6
125,3.6,0.666666667,0,-1,0,3.6
126,2.4,0,0,-2,0.166666667,4.4
127,0,0,0,0,0.5,4.4
128,1.2,-0.333333333,-0.833333333,1,0,4
129,0,0.666666667,-1.666666667,0,0,2.8
130,2.4,-0.333333333,0,0,-0.166666667,4
131,3.6,0.333333333,1.666666667,1,0.166666667,3.6
132,1.2,0.666666667,0,1,0,3.6
133,1.2,0.333333333,0.833333333,0,-0.333333333,4
134,-2.4,1,0,0,-0.333333333,3.6
135,0,0.333333333,0,0,0.333333333,4.4
136,3.6,-1,0,-1,0.333333333,5.2
137,2.4,0.666666667,0,-1,0.166666667,4.8
138,2.4,1.333333333,0.833333333,0,-0.166666667,4
139,2.4,0.666666667,0,0,0.666666667,5.2
140,-1.2,0,2.5,-1,-0.666666667,5.2
141,1.2,0.333333333,1.666666667,-1,0.5,4.4
142,2.4,0,0,-1,0,4
143,2.4,0,0.833333333,1,0.333333333,5.6
144,2.4,0.333333333,0.833333333,0,0.333333333,4.4
145,3.6,0.333333333,4.166666667,-1,0.166666667,5.6
146,1.2,0.333333333,1.666666667,3,0,4
147,1.2,0.333333333,-0.833333333,1,-0.5,5.6
148,0,0.666666667,0,1,-0.166666667,6
149,0,1,0.833333333,0,0,5.6
150,3.6,0.666666667,0,-1,0,6.4
151,1.2,0.333333333,0,0,-0.166666667,6.8
152,3.6,0.333333333,3.333333333,-1,-0.5,6
153,2.4,0.333333333,0.833333333,0,0.333333333,6.4
154,2.4,0.333333333,0.833333333,-3,-0.333333333,6.4
155,2.4,1,0.833333333,0,0,5.6
156,2.4,0,0.833333333,1,0,6
157,4.8,0.333333333,0.833333333,1,0.166666667,6.4
158,1.2,0.333333333,0.833333333,1,0.166666667,6.8
159,1.2,0.333333333,0,1,0.5,6.4
160,3.6,0.666666667,0,1,0.166666667,7.2
161,4.8,0.666666667,1.666666667,0,0.666666667,6.4
162,3.6,1.666666667,0.833333333,0,-0.333333333,6.4
163,3.6,1,0.833333333,0,0.166666667,7.6
164,2.4,0,2.5,-1,0.5,7.6
165,3.6,0.666666667,2.5,1,0.333333333,6.4
166,2.4,1.333333333,-1.666666667,0,0.666666667,7.2
167,2.4,0.666666667,1.666666667,0,0.333333333,7.6
168,-1.2,0.666666667,0.833333333,0,0,6
169,3.6,0.333333333,2.5,0,0.166666667,5.6
170,4.8,1,2.5,0,0,6.8
171,3.6,0.666666667,1.666666667,-2,0.666666667,6.4
172,3.6,0.666666667,0.833333333,2,0.166666667,8.4
173,2.4,0.333333333,0.833333333,1,0.166666667,6.4
174,0,1,0,1,0.333333333,7.2
175,2.4,0.333333333,1.666666667,0,0.333333333,7.2
176,6,1,0.833333333,0,0.166666667,6.8
177,3.6,0.666666667,1.666666667,1,0.166666667,6.8
178,3.6,1,0.833333333,1,0.833333333,7.6
179,4.8,1,1.666666667,2,0.333333333,6.8
180,3.6,0.666666667,0.833333333,1,0.5,7.6
181,3.6,0,0.833333333,1,0.5,7.2
182,7.2,1.666666667,1.666666667,1,0.166666667,7.6
183,3.6,0.666666667,0,2,0.333333333,7.6
184,3.6,0.666666667,0.833333333,0,0.333333333,8.4
185,2.4,0,1.666666667,0,0.333333333,7.6
186,3.6,0.666666667,1.666666667,4,0.333333333,8.4
187,4.8,0,2.5,0,0,7.6
