Time (sec),Sensor #1,Sensor #2,Sensor #3,Sensor #4,Sensor #5,Sensor #6
0,-1,-1.2,0.666666667,0,-1,-0.833333333
1,1,0,0,0.166666667,-1,-0.833333333
2,2.5,-1.2,0.333333333,0.5,0,-0.666666667
3,1,-1.2,0,0.166666667,-1,-0.833333333
4,1.5,-1.2,0,-0.5,-0.5,-0.5
5,0,0,0,0.166666667,-0.5,-0.666666667
6,1,-1.2,0.333333333,0.666666667,0,-0.666666667
7,0,1.2,0.333333333,0,-1.5,-0.833333333
8,1,0,0.333333333,-0.166666667,-0.5,-0.5
9,0,-1.2,0.333333333,0,-1,-0.833333333
10,1,-1.2,0.333333333,0.166666667,-0.5,-0.666666667
11,1,-1.2,0,0.5,0,-0.666666667
12,1,-4.8,0.666666667,0.5,-1,-0.833333333
13,0.5,-1.2,0,0.166666667,0,-1
14,0,-1.2,0.333333333,0.166666667,-0.5,-0.833333333
15,0.5,0,0.333333333,0,-0.5,-0.833333333
16,1,0,0.666666667,0.333333333,-0.5,-1
17,0.5,-1.2,0.333333333,-0.166666667,0,-0.666666667
18,1,-1.2,0.666666667,0.166666667,-0.5,-0.833333333
19,0.5,-3.6,0,0.166666667,-0.5,-0.666666667
20,0.5,0,0.333333333,-0.166666667,0,-1
21,0.5,0,0.333333333,0,0,-1
22,0.5,0,0.333333333,0.333333333,0,-0.5
23,1,-1.2,0,-0.333333333,1,-0.833333333
24,0.5,-1.2,0,0,-0.5,-0.666666667
25,1,2.4,0,0.166666667,-2,-1
26,1,0,1,0.166666667,0,-1
27,2,-1.2,0,0.333333333,-2,-0.666666667
28,1,-1.2,0.666666667,0.166666667,0,-0.666666667
29,0.5,0,0.333333333,0,-1.5,-0.666666667
30,-0.5,0,0.333333333,0.166666667,0.5,-0.666666667
31,0.5,-1.2,0.333333333,0.333333333,-1.5,-0.833333333
32,0.5,-1.2,-0.333333333,0,-1.5,-0.833333333
33,0,-1.2,0,0,-2,-1
34,1.5,0,0.666666667,0,-0.5,-0.666666667
35,1,-1.2,0.333333333,0,-0.5,-0.5
36,1,0,-0.333333333,0,0,-1
37,0.5,-1.2,0.333333333,-0.333333333,-2.5,-0.833333333
38,0,0,-0.333333333,-0.166666667,-0.5,-1
39,1,-1.2,0,0,-0.5,-1
40,0,-1.2,0,-0.166666667,0,-1.166666667
41,0.5,0,0.333333333,0,-1,-0.333333333
42,1,0,0.666666667,-0.333333333,-1,-0.833333333
43,0,-2.4,0.666666667,-0.333333333,0,-1
44,0.5,-1.2,0.333333333,-0.333333333,-0.5,-0.666666667
45,1.5,-4.8,0,0.166666667,-0.5,-0.666666667
46,0.5,-2.4,-0.333333333,0.166666667,0,-0.833333333
47,1,-1.2,0,0,-0.5,-1
48,0,0,0.333333333,0,0,-0.666666667
49,1.5,-1.2,0.666666667,0.166666667,-1,-0.833333333
50,0.5,0,0,0,-0.5,-0.833333333
51,0,0,0,0,-1,-0.5
52,1,-1.2,0.333333333,0.166666667,-0.5,-1
53,0.5,-1.2,0.333333333,0,-1,-0.833333333
54,1,-2.4,-0.333333333,-0.5,-0.5,-0.5
55,0,-2.4,0,0.5,-1,-1
56,1,0,0,0.166666667,0,-0.833333333
57,-0.5,0,0,0.166666667,-1,-0.666666667
58,0.5,-1.2,0.666666667,0.166666667,0.5,-0.666666667
59,1,-1.2,0,0,0.5,-0.833333333
60,0.5,0,0,0,-1,-0.833333333
61,0.5,-1.2,0,0,0,-0.5
62,0.5,-1.2,0,0,0.5,-0.833333333
63,0,-1.2,0,0.166666667,0,-1
64,0.5,-1.2,0.333333333,-0.166666667,-1,-0.5
65,1,-1.2,0.333333333,-0.166666667,-0.5,-0.666666667
66,1,-1.2,-0.333333333,0.5,-0.5,-1
67,0.5,-1.2,0,0.166666667,0,-0.666666667
68,0.5,-2.4,0.333333333,0,0,-0.833333333
69,0.5,-1.2,0,0.166666667,0,-0.666666667
70,1,0,0.333333333,0.666666667,-1,-0.666666667
71,0.5,-2.4,0,0.166666667,-1,-0.833333333
72,0.5,-1.2,0,0.166666667,-1,-0.833333333
73,1,-2.4,0.333333333,0.833333333,-0.5,-0.333333333
74,1,-1.2,0.333333333,0.166666667,-1,-1.333333333
75,0.5,0,0.333333333,-0.166666667,-1.5,-1
76,2,-1.2,0,0,-1,-1
77,0.5,0,0,0.333333333,-2,-0.5
78,0.5,-1.2,0.666666667,-0.166666667,-1,-0.666666667
79,-0.5,-2.4,0,0,0,-1
80,0.5,-2.4,0,-0.333333333,-1,-0.5
81,0.5,-1.2,-0.666666667,0.166666667,-1,-1
82,0,-2.4,0,0,-2,-0.833333333
83,0.5,1.2,0.333333333,0,-1.5,-0.833333333
84,0.5,0,0.333333333,0,-1,-1
85,1,-1.2,0.333333333,0,-0.5,-0.833333333
86,0.5,-2.4,0.333333333,-0.333333333,1,-1
87,0.5,-1.2,0,0,-2,-0.666666667
88,0.5,1.2,0.333333333,-0.166666667,-1,-0.833333333
89,0,-3.6,0,-0.166666667,-0.5,-0.666666667
90,0,-2.4,0,0.166666667,-1,-0.5
91,0,-3.6,-0.333333333,-0.166666667,-1.5,-0.5
92,0.5,0,0.333333333,-0.166666667,-0.5,-0.666666667
93,1,-1.2,0.333333333,0,0.5,-0.666666667
94,1,-1.2,0,0,-0.5,-0.5
95,0.5,-4.8,0,0,0,-0.5
96,0.5,-1.2,0.333333333,0,0,-0.333333333
97,0.5,-1.2,0,0.166666667,-0.5,0.166666667
98,0.5,1.2,0,0.166666667,0,-0.5
99,0,0,0,0,0,0
100,1.5,-1.2,0.333333333,0.166666667,-0.5,0.166666667
101,-0.5,-1.2,0.666666667,0,-1,0.166666667
102,1,-4.8,0.666666667,0,0,0.166666667
103,0.5,-2.4,0.666666667,0.166666667,0.5,0.666666667
104,-1.5,0,1,0.166666667,1,0.833333333
105,0.5,-4.8,0.666666667,-0.166666667,0.5,0.833333333
106,0.5,0,0.666666667,0.333333333,2.5,0.666666667
107,-0.5,0,1.333333333,0,0.5,1
108,1,0,0.666666667,0.333333333,0.5,0.833333333
109,0.5,1.2,0.666666667,0.5,1.5,1.333333333
110,1.5,-1.2,1,-0.166666667,2.5,0.666666667
111,0.5,1.2,1.333333333,0.166666667,0.5,1.5
112,0.5,2.4,1.666666667,0.333333333,2,1.666666667
113,1,1.2,1.666666667,0.5,2,2
114,1,0,1.333333333,0.333333333,2.5,2
115,0,1.2,1.666666667,0.166666667,3.5,1.833333333
116,1,2.4,1.666666667,0.5,2,2
117,1.5,1.2,1.333333333,0.333333333,2.5,2.666666667
118,1.5,0,2,0.833333333,3,2.333333333
119,1,1.2,0.666666667,0.666666667,2,2.5
120,0.5,1.2,1.666666667,0.833333333,4,2.5
121,1,3.6,2,1.166666667,3.5,2.666666667
122,1,3.6,1.666666667,1,3.5,2.833333333
123,1.5,2.4,1.666666667,1,4.5,2.833333333
124,1,2.4,2.333333333,1,3.5,3
125,0.5,3.6,2,1.166666667,4.5,2.833333333
126,1,6,2.333333333,1.166666667,4,3.166666667
127,1.5,2.4,2.333333333,1.333333333,4.5,3.166666667
128,1,0,2.333333333,1.166666667,4,3.166666667
129,1,2.4,2,1.166666667,5,3.666666667
130,1.5,2.4,2.333333333,1.666666667,5.5,3.333333333
131,1.5,3.6,2.666666667,1.333333333,5.5,3.5
132,1.5,2.4,2.666666667,1.833333333,5.5,3.666666667
133,1.5,3.6,2.666666667,1.666666667,6,4
134,2,3.6,2.666666667,2.333333333,6,3.833333333
135,2,8.4,2.666666667,1.666666667,6.5,3.5
136,2,3.6,2.666666667,1.833333333,6,3.833333333
137,2,4.8,2.666666667,2,6.5,4.333333333
138,2,3.6,3,2.166666667,4.5,4.166666667
139,2.5,4.8,3,1.833333333,6,4.333333333
140,2.5,4.8,3,2.166666667,7,4
141,2.5,3.6,3,2.166666667,8,4.833333333
142,3,3.6,2.666666667,3,5.5,4.333333333
143,2.5,2.4,2.666666667,2.333333333,7.5,4.666666667
144,2.5,3.6,3,2.333333333,7,4.666666667
145,2,6,2.333333333,2.5,7.5,4.833333333
146,3,6,3.666666667,2.666666667,7,4.666666667
147,3,4.8,3.333333333,2.666666667,7,5
148,3,6,3.333333333,2.666666667,7.5,5.5
149,2.5,4.8,3.333333333,2.666666667,8,5.166666667
150,4,6,3.333333333,3,10,5.5
151,3.5,4.8,3.333333333,3,8.5,5.166666667
152,3,4.8,3,3,9,5.333333333
153,3.5,3.6,3.333333333,3.166666667,9,4.833333333
154,4,6,4,2.833333333,8.5,5.666666667
155,3,7.2,3,2.166666667,10,5.5
156,3.5,7.2,3.333333333,3.333333333,10,5.666666667
157,4,6,4,3.333333333,9,6
158,4,6,3,3.166666667,9,5.5
159,4,7.2,3.666666667,2.833333333,10,5.333333333
160,4.5,7.2,3,4.166666667,10.5,6
161,4,8.4,3.666666667,3.5,9.5,6.166666667
162,4,6,3.333333333,3.5,10.5,5.833333333
163,4,7.2,3.666666667,3.666666667,10.5,6
164,5.5,7.2,4,3.666666667,10,6
165,4.5,8.4,3.666666667,3.666666667,11,6.166666667
166,4.5,6,3.666666667,3.833333333,11.5,6.333333333
167,4,7.2,3.666666667,3.666666667,11.5,6
168,4.5,6,4,3.833333333,11,6.166666667
169,4.5,7.2,3.666666667,3.833333333,10.5,6.166666667
170,5,7.2,3.666666667,4.166666667,11,6.333333333
171,4.5,7.2,4,4.166666667,11,6.666666667
172,4.5,10.8,4,4.5,11.5,6.5
173,5,7.2,4.333333333,4.166666667,12.5,6.5
174,5,8.4,3.333333333,4.166666667,12.5,6.5
175,5,7.2,4,3.833333333,12,6.333333333
176,5,7.2,4,4.166666667,11,6.666666667
177,4.5,8.4,4,4.333333333,12.5,7
178,4.5,8.4,4,3.833333333,13.5,6.333333333
179,5,12,4,3.666666667,13,6.666666667
180,5.5,8.4,4.333333333,4.333333333,12,6.5
181,5,9.6,3.333333333,4.833333333,13,6.833333333
182,5,8.4,4,4.5,12.5,6.333333333
183,6,8.4,4,4.5,13.5,6.5
184,4.5,8.4,4.333333333,4.166666667,13,7.333333333
185,6,7.2,4.333333333,4,13.5,6.666666667
186,5,9.6,4,4.333333333,13,7
187,6,8.4,4.333333333,4.666666667,14,7.166666667
188,5.5,9.6,4.666666667,4.333333333,13.5,7.166666667
189,5.5,8.4,4.666666667,4.5,14,7
190,5.5,8.4,4,4.833333333,14,6.833333333
191,6,8.4,4.333333333,4.666666667,13.5,6.833333333
192,5.5,9.6,4.333333333,4.833333333,16,7
193,6,8.4,4,4.833333333,14,6.833333333
194,5.5,9.6,4.333333333,4.833333333,14.5,6.833333333
195,6.5,10.8,4.666666667,5,13,7.333333333
196,6,12,4.333333333,4.833333333,15.5,7.5
197,6.5,9.6,3.666666667,4.666666667,14.5,7.166666667
198,5.5,8.4,4.666666667,4.833333333,13.5,7.833333333
199,5,10.8,4.666666667,4.833333333,16,7.666666667
200,6.5,10.8,5,4.166666667,14,7.833333333
201,6,12,4.666666667,4.333333333,15,7.333333333
202,5.5,9.6,4,4.666666667,14.5,7.5
203,6,12,4.666666667,5.333333333,15.5,7.333333333
204,6,9.6,4.666666667,4.833333333,14,7.833333333
205,6,10.8,5.333333333,5,15,7.666666667
206,6.5,10.8,5,4.833333333,16,7.833333333
207,6,10.8,5,5.333333333,15,7.666666667
208,6,9.6,5.333333333,5,15.5,7.666666667
209,6.5,10.8,4.333333333,5,16.5,7.666666667
210,6.5,7.2,5,4.5,15.5,7.666666667
211,6.5,10.8,4.666666667,5.333333333,16,8
212,5.5,14.4,4.666666667,5.5,16,7.5
213,6,9.6,4.666666667,5,15.5,7.833333333
214,6,12,5,4.666666667,16,8.166666667
215,7.5,12,5.333333333,4.666666667,16,8.166666667
216,6.5,12,4.666666667,5.166666667,16.5,8.166666667
217,7,12,5,5.166666667,14,8.166666667
218,6.5,12,4.666666667,4.833333333,15.5,8.166666667
219,6.5,9.6,5.333333333,5.166666667,16.5,8.166666667
220,6.5,12,5,5.333333333,17,7.833333333
221,7,14.4,4.666666667,5.166666667,17,8
222,6.5,9.6,4.666666667,5,16.5,8.333333333
223,6.5,14.4,4.666666667,5,16.5,7.833333333
224,6.5,12,4.666666667,5.833333333,16,8
225,7,12,5,5.333333333,16.5,8
226,7,14.4,5.333333333,5.5,17.5,8.333333333
227,6.5,13.2,5.333333333,5.166666667,17.5,8.166666667
228,6.5,13.2,5.333333333,5.166666667,17,8.166666667
229,6.5,13.2,4,4.666666667,17.5,8.166666667
230,7,12,5,5.166666667,18,8.333333333
231,6.5,12,5.333333333,5.166666667,18,8.5
232,6.5,10.8,4.666666667,5.666666667,17,8
233,7.5,12,4.333333333,5.333333333,17,8
234,6.5,13.2,5,5,16.5,8.5
235,7,13.2,5,5.166666667,17.5,8.166666667
236,6,13.2,5.333333333,5.333333333,18.5,8.5
237,7,15.6,5,4.833333333,17.5,8.5
238,7.5,13.2,4.666666667,5.5,18,8.5
239,7,12,5,5.666666667,17.5,8
240,7,12,5,5,16.5,8.666666667
241,7.5,13.2,4.666666667,5.5,18,8.5
242,7,13.2,5.333333333,5.5,17.5,8.666666667
243,7,13.2,5,5.166666667,18.5,8.833333333
244,6.5,13.2,5,5.333333333,19,8.666666667
245,6,13.2,5.333333333,5.333333333,18,8.166666667
246,8,14.4,4.666666667,5.166666667,17.5,8.5
247,7,13.2,4.333333333,5.5,17,8.833333333
248,6.5,12,5.333333333,5.666666667,19,9
249,7,13.2,5,5.5,19,8.833333333
250,7.5,15.6,5,5.666666667,18.5,8.666666667
251,6.5,16.8,4.666666667,5.333333333,18,8.5
252,7,12,4.333333333,5.833333333,19.5,8.5
253,8,14.4,5.333333333,5,19,8.166666667
254,7.5,13.2,5,5.166666667,18.5,8.5
255,7,13.2,5.333333333,5.333333333,18.5,8.5
256,7.5,9.6,5,5.333333333,18.5,8.833333333
257,8,13.2,5.333333333,5.333333333,20.5,8.833333333
258,7,14.4,5.333333333,5.166666667,19,8.833333333
259,6.5,12,5,5.166666667,17.5,9
260,7.5,12,4.666666667,5.333333333,18.5,8.833333333
261,7,13.2,5.333333333,5.333333333,20,8.833333333
262,8,15.6,5.333333333,5.666666667,19,8.333333333
263,8,14.4,5,5.333333333,18,8.833333333
264,7,14.4,5.333333333,5,18.5,8.833333333
265,7,14.4,5.333333333,5.333333333,18.5,8.833333333
266,7.5,15.6,5,5,18.5,9
267,6.5,14.4,5,5.5,17.5,9.166666667
268,8,15.6,4.666666667,5.5,19,9
269,6.5,13.2,5.333333333,5.333333333,19.5,9
270,7,14.4,5.666666667,5.333333333,20,9
271,7.5,14.4,5.333333333,5.5,18.5,9.166666667
272,6.5,13.2,5,5.833333333,19,9.166666667
273,7,13.2,5.333333333,5.333333333,19.5,8.666666667
274,8,13.2,5,5.166666667,18,9.166666667
275,7,14.4,5.333333333,5,19.5,9
